,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,url
Thunder,2USlegnFJLrVLpoVfPimKB,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,1,1,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
Mr. Saxobeat - Radio Edit,3LWDPEXEaLBRGNLbdcbwBR,0.726,0.931,-4.152,0.0468,0.0218,0.000283,0.143,0.797,126.976,11,0,https://open.spotify.com/track/3LWDPEXEaLBRGNLbdcbwBR
Sweet Dreams,4uDhts78RdwIDjEqPrYVKp,0.766,0.817,-4.253,0.035,0.0239,2.49e-06,0.159,0.43,125.033,7,1,https://open.spotify.com/track/4uDhts78RdwIDjEqPrYVKp
One More Time,0DiWol3AO6WpXZgp0goxAV,0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,2,1,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV
Baby When the Light (feat. Cozi),5bJ3imTI0ErWNsFWEgi5F8,0.588,0.749,-7.621,0.035,0.0264,0.0,0.139,0.248,129.959,0,1,https://open.spotify.com/track/5bJ3imTI0ErWNsFWEgi5F8
The Sound Of San Francisco - Progressive Album Mix,60tsXfCcG6Ljxsr8whOXL5,0.694,0.823,-5.739,0.048,0.000573,0.00102,0.134,0.501,132.337,6,0,https://open.spotify.com/track/60tsXfCcG6Ljxsr8whOXL5
The World Is Mine,0TBaFEx7WENZgqLXWErD0b,0.682,0.93,-4.036,0.0846,0.000125,0.0123,0.0481,0.46,127.867,11,0,https://open.spotify.com/track/0TBaFEx7WENZgqLXWErD0b
Hey Boy Hey Girl,7kXmJwrZGIhDaLT9sNo3ut,0.632,0.92,-4.976,0.0531,0.119,0.508,0.114,0.363,127.001,2,1,https://open.spotify.com/track/7kXmJwrZGIhDaLT9sNo3ut
Remember (Original Mix),0LQp6qJmYxqjd7qkMQDnqC,0.798,0.885,-6.967,0.108,0.0713,0.0183,0.0728,0.528,137.982,7,0,https://open.spotify.com/track/0LQp6qJmYxqjd7qkMQDnqC
Waiting For Love,2P4OICZRVAQcYAV2JReRfj,0.579,0.736,-3.863,0.0527,0.31,0.0,0.198,0.613,127.999,6,0,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj
Go,6bzV0xGO4dROmmL9GmVkjM,0.675,0.868,-9.118,0.0572,4.82e-05,0.909,0.0875,0.539,125.843,4,0,https://open.spotify.com/track/6bzV0xGO4dROmmL9GmVkjM
Satisfaction - Isaak Original,0qmQ8fxqSPZZJrMLzVLAJc,0.804,0.717,-3.366,0.103,0.185,0.197,0.0751,0.37,129.971,9,1,https://open.spotify.com/track/0qmQ8fxqSPZZJrMLzVLAJc
Short Circuit,4npMbTuxrUA3Wd7edACZ2L,0.535,0.558,-10.756,0.0741,0.00461,0.824,0.0821,0.215,109.69,6,1,https://open.spotify.com/track/4npMbTuxrUA3Wd7edACZ2L
Under Control (feat. Hurts),4J7CKHCF3mdL4diUsmW8lq,0.544,0.915,-3.405,0.0841,0.129,0.000914,0.115,0.51,126.094,8,1,https://open.spotify.com/track/4J7CKHCF3mdL4diUsmW8lq
Hypnocurrency,3evAUkYDPeLX5kn0LbvGz4,0.528,0.732,-9.492,0.0504,0.0319,0.868,0.109,0.0324,199.978,2,1,https://open.spotify.com/track/3evAUkYDPeLX5kn0LbvGz4
Structures - Continuous Mix CD1,2Bb5rwI7DOFKvIsXVI6GMY,0.605,0.791,-11.771,0.0496,0.00511,0.8,0.628,0.27,125.644,7,0,https://open.spotify.com/track/2Bb5rwI7DOFKvIsXVI6GMY
Continuous Mix By Tiësto,5jVWwlChFkupJJEFcEfSXo,0.496,0.917,-7.601,0.0411,0.000214,0.842,0.328,0.136,138.097,10,0,https://open.spotify.com/track/5jVWwlChFkupJJEFcEfSXo
Never Let Me Go,1yzBGun3xDY7WpHOIP9nNp,0.726,0.835,-3.914,0.0341,0.041,9.45e-06,0.068,0.579,123.986,0,1,https://open.spotify.com/track/1yzBGun3xDY7WpHOIP9nNp
Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix,2MGRnjJc7C0z3EOEWRqcMw,0.773,0.813,-4.609,0.0797,0.0331,3.77e-05,0.192,0.707,127.93,4,0,https://open.spotify.com/track/2MGRnjJc7C0z3EOEWRqcMw
Born Slippy (Nuxx),7xQYVjs4wZNdCwO0EeAWMC,0.576,0.953,-8.968,0.0362,0.00106,0.49,0.474,0.303,140.042,10,1,https://open.spotify.com/track/7xQYVjs4wZNdCwO0EeAWMC
"World, Hold On - Radio Edit",0muVO1yu2wQKNmMvEDrHTp,0.736,0.918,-2.359,0.0819,0.046,6.64e-05,0.105,0.583,126.99,8,0,https://open.spotify.com/track/0muVO1yu2wQKNmMvEDrHTp
Crescendolls,6vuPZX9fWESg5js2JFTQRJ,0.697,0.75,-8.503,0.0721,0.0035,0.922,0.0889,0.937,124.048,5,0,https://open.spotify.com/track/6vuPZX9fWESg5js2JFTQRJ
A New Error,1fmoCZ6mtMiqA5GHWPcZz9,0.717,0.46,-11.326,0.0372,0.0287,0.785,0.0661,0.0961,110.993,11,0,https://open.spotify.com/track/1fmoCZ6mtMiqA5GHWPcZz9
Something,3e9L9HiHKcfYLAga28Vmcf,0.644,0.981,-6.644,0.0439,0.0271,9.67e-05,0.11,0.379,140.012,7,0,https://open.spotify.com/track/3e9L9HiHKcfYLAga28Vmcf
Children,4wtR6HB3XekEengMX17cpc,0.604,0.755,-10.761,0.0337,0.000298,0.817,0.0625,0.387,137.064,0,1,https://open.spotify.com/track/4wtR6HB3XekEengMX17cpc
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972,1,0,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
High Life,098ttCNmncrO4YvqWUNMvn,0.653,0.869,-9.393,0.217,0.00435,0.413,0.334,0.515,125.207,8,1,https://open.spotify.com/track/098ttCNmncrO4YvqWUNMvn
Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,0.646,0.823,-4.123,0.0394,0.213,0.0,0.322,0.418,128.035,2,0,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
I Will Find,2bbfiUnH4CATlekDS1dxNr,0.922,0.535,-8.171,0.0484,0.144,0.271,0.552,0.382,123.972,6,0,https://open.spotify.com/track/2bbfiUnH4CATlekDS1dxNr
Ocean,4nraNqonMyfc0U3o8VeXVu,0.655,0.684,-5.18,0.0269,0.197,0.0036,0.278,0.27,110.037,0,1,https://open.spotify.com/track/4nraNqonMyfc0U3o8VeXVu
Lovers on the Sun (feat. Sam Martin),2rgtCOVK2tpfao2VjURn84,0.645,0.891,-2.505,0.0387,0.0932,3.88e-06,0.379,0.568,124.915,6,0,https://open.spotify.com/track/2rgtCOVK2tpfao2VjURn84
Galvanize,4bz7uB4edifWKJXSDxwHcs,0.745,0.714,-3.681,0.0751,0.0141,0.0222,0.363,0.365,104.003,7,1,https://open.spotify.com/track/4bz7uB4edifWKJXSDxwHcs
Secrets,0NIC4unbe5KZOp1d9T7OaF,0.648,0.812,-7.585,0.0414,0.000329,0.0369,0.0857,0.122,128.178,11,0,https://open.spotify.com/track/0NIC4unbe5KZOp1d9T7OaF
Losing It,6ho0GyrWZN3mhi9zVRW7xi,0.76,0.964,-5.844,0.0577,0.00181,0.703,0.0975,0.643,125.003,2,1,https://open.spotify.com/track/6ho0GyrWZN3mhi9zVRW7xi
First of the Year (Equinox),5i7fZq3chLyCHo3VeB6goD,0.429,0.948,-3.657,0.227,0.00711,0.0148,0.0812,0.55,115.785,5,0,https://open.spotify.com/track/5i7fZq3chLyCHo3VeB6goD
"Harder, Better, Faster, Stronger",5W3cjX2J3tjhG8zb6u0qHn,0.817,0.716,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,6,0,https://open.spotify.com/track/5W3cjX2J3tjhG8zb6u0qHn
On My Knees,2ouFrmMwYik8nQX2n9SeZu,0.683,0.571,-7.721,0.0286,0.0335,0.0616,0.0957,0.29,120.044,1,1,https://open.spotify.com/track/2ouFrmMwYik8nQX2n9SeZu
Rosewood,2ZaL63zLMDr6H18El2EIt9,0.757,0.637,-9.451,0.0432,0.0668,0.485,0.191,0.429,121.009,10,0,https://open.spotify.com/track/2ZaL63zLMDr6H18El2EIt9
Byob,7uF4XVBeZeWsjhioGUhI47,0.88,0.695,-5.733,0.108,0.0501,0.677,0.366,0.486,122.024,6,1,https://open.spotify.com/track/7uF4XVBeZeWsjhioGUhI47
Alone,3MEYFivt6bilQ9q9mFWZ4g,0.631,0.953,-3.739,0.0343,0.0241,0.0155,0.108,0.422,141.99,2,1,https://open.spotify.com/track/3MEYFivt6bilQ9q9mFWZ4g
Robot Rock / Oh Yeah,5eS6pTvDNOvh2kyxeZtK3r,0.479,0.678,-12.17,0.0758,0.00018,0.661,0.421,0.227,116.033,2,1,https://open.spotify.com/track/5eS6pTvDNOvh2kyxeZtK3r
Body Language - Interpretation,2zjDsffctRXJyVLfaxnvWJ,0.8,0.803,-9.156,0.0787,0.25,0.895,0.152,0.668,128.006,11,0,https://open.spotify.com/track/2zjDsffctRXJyVLfaxnvWJ
Traffic - Radio Edit,4dFsZLGVr40S9veNWXBCoe,0.714,0.642,-10.241,0.0868,0.00251,0.887,0.186,0.102,137.834,8,0,https://open.spotify.com/track/4dFsZLGVr40S9veNWXBCoe
The Last Goodbye (feat. Bettye LaVette),4XeIiGpUBshIfs9yrBDVZC,0.667,0.92,-2.71,0.0773,0.00752,0.00232,0.126,0.146,114.977,9,1,https://open.spotify.com/track/4XeIiGpUBshIfs9yrBDVZC
Gosh,79Jl8KMvmnXedTjjW6pJan,0.752,0.459,-12.285,0.0692,0.017,0.784,0.0918,0.38,139.45,10,0,https://open.spotify.com/track/79Jl8KMvmnXedTjjW6pJan
Gravity (Feat. Magga & Evokings),5VU91Zzjw9nr4O0ZjcZLaC,0.716,0.638,-4.534,0.0407,0.0121,0.00023,0.0647,0.112,124.032,1,0,https://open.spotify.com/track/5VU91Zzjw9nr4O0ZjcZLaC
Reckoner - Chambord Remix,2VDDmFbH6CvaKj88pnED68,0.74,0.703,-14.176,0.0426,0.00821,0.84,0.151,0.034,117.999,2,1,https://open.spotify.com/track/2VDDmFbH6CvaKj88pnED68
Witchcraft,4Y2glvLjQGOb4dXnwm1hQf,0.42,0.969,-3.139,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,1,1,https://open.spotify.com/track/4Y2glvLjQGOb4dXnwm1hQf
You & Me - Flume Remix,3W2ZcrRsInZbjWylOi6KhZ,0.593,0.392,-6.872,0.0257,0.382,0.000114,0.131,0.25,75.065,10,0,https://open.spotify.com/track/3W2ZcrRsInZbjWylOi6KhZ
"Derezzed - From ""TRON: Legacy""/Score",5X4ojuZG2mZ68EcLyBQ1D3,0.54,0.635,-10.071,0.0519,0.00166,0.788,0.209,0.126,119.995,1,1,https://open.spotify.com/track/5X4ojuZG2mZ68EcLyBQ1D3
Deus Me Proteja,3dR4NazYvMKgLjaNw3HX5w,0.633,0.799,-3.624,0.0496,0.342,0.0,0.306,0.812,79.976,2,1,https://open.spotify.com/track/3dR4NazYvMKgLjaNw3HX5w
Ai Que Saudade d'ocê,1YyZI4Rxbm6dr93SLJSJG5,0.667,0.806,-6.746,0.0276,0.121,9.17e-05,0.438,0.862,97.017,5,1,https://open.spotify.com/track/1YyZI4Rxbm6dr93SLJSJG5
Tareco & Mariola - Live,69FVF2Hh2WR5FXKJYIFeqe,0.594,0.844,-4.904,0.0538,0.589,0.0,0.472,0.951,87.844,9,0,https://open.spotify.com/track/69FVF2Hh2WR5FXKJYIFeqe
Eu e Você,208OvbnQKMT7rcsP8q3BQK,0.699,0.597,-10.795,0.0446,0.268,4.76e-05,0.134,0.816,151.914,11,0,https://open.spotify.com/track/208OvbnQKMT7rcsP8q3BQK
Espumas Ao Vento - Ao Vivo,088EiYaFueuIgoqzj6xHLt,0.611,0.441,-7.561,0.0412,0.791,0.0,0.695,0.712,129.417,2,0,https://open.spotify.com/track/088EiYaFueuIgoqzj6xHLt
São João de Todos os Tempos,1EZ9CYndYuvySK90YQJeDC,0.715,0.956,-4.421,0.0775,0.117,0.0,0.0998,0.535,164.896,7,1,https://open.spotify.com/track/1EZ9CYndYuvySK90YQJeDC
Eu Só Quero um Xodó (Ao Vivo),6EEDuy7cieppsAqgEvCkkL,0.46,0.613,-11.462,0.0553,0.715,3.65e-05,0.552,0.751,177.381,5,1,https://open.spotify.com/track/6EEDuy7cieppsAqgEvCkkL
Destá - Ao Vivo,5Hd85gz71ZDibyWdbtqNkI,0.452,0.918,-4.714,0.0887,0.608,0.000195,0.77,0.67,173.582,9,1,https://open.spotify.com/track/5Hd85gz71ZDibyWdbtqNkI
Andar Com Fé,2AuYLmhry7EQoyVh06vI7z,0.784,0.887,-9.963,0.0415,0.384,0.000399,0.195,0.972,102.052,0,1,https://open.spotify.com/track/2AuYLmhry7EQoyVh06vI7z
A Inveja Mata,6iu3tbZfjN6Px1E1ou3Mhn,0.722,0.877,-5.591,0.111,0.401,0.0,0.0799,0.969,176.006,7,1,https://open.spotify.com/track/6iu3tbZfjN6Px1E1ou3Mhn
Você Endoideceu Meu Coração,1hq8BtY65XOEtRqJN8iCd3,0.736,0.685,-6.735,0.0473,0.144,0.0,0.292,0.876,168.066,10,1,https://open.spotify.com/track/1hq8BtY65XOEtRqJN8iCd3
Anjo Meu,5efdLGjTOF9AFnVjorKb2z,0.687,0.737,-7.497,0.033,0.205,0.0,0.272,0.917,163.984,4,1,https://open.spotify.com/track/5efdLGjTOF9AFnVjorKb2z
Xote da Alegria,7beIXK8elXoDUfYPw1h770,0.594,0.861,-6.816,0.0329,0.26,7.71e-05,0.379,0.933,172.062,6,1,https://open.spotify.com/track/7beIXK8elXoDUfYPw1h770
Meu Cenário,49Ucerckj1cScWj2NchOG7,0.636,0.823,-6.006,0.0394,0.483,0.0,0.16,0.923,85.407,0,1,https://open.spotify.com/track/49Ucerckj1cScWj2NchOG7
Vem Meu Amor,0rTKvHvxhM7q7X4ULc5PgM,0.677,0.87,-2.217,0.0711,0.349,0.0,0.0573,0.962,169.985,1,0,https://open.spotify.com/track/0rTKvHvxhM7q7X4ULc5PgM
Simplesmente Assim,58eVDFwZ19dvK9pyt2FT8y,0.423,0.789,-7.411,0.0529,0.265,3.71e-06,0.0979,0.426,175.973,10,1,https://open.spotify.com/track/58eVDFwZ19dvK9pyt2FT8y
Me Usa,4dUpm0QuR6MCIG5rN7XTI9,0.648,0.743,-9.028,0.0337,0.52,1.23e-06,0.581,0.88,97.482,11,1,https://open.spotify.com/track/4dUpm0QuR6MCIG5rN7XTI9
Magamalabares,3KhnUzG8svcXCMdgnOPDgd,0.73,0.808,-8.449,0.0393,0.0493,0.0,0.129,0.95,108.078,6,1,https://open.spotify.com/track/3KhnUzG8svcXCMdgnOPDgd
Saga de um Vaqueiro,4STXuTPZsC0ENLi4849ADn,0.717,0.892,-1.91,0.0424,0.486,0.0,0.0797,0.948,108.87,10,1,https://open.spotify.com/track/4STXuTPZsC0ENLi4849ADn
Vou Te Namorar,4QwbAmlMOZtqulBEcTVUkM,0.696,0.631,-4.541,0.0366,0.346,0.0,0.258,0.926,150.007,4,0,https://open.spotify.com/track/4QwbAmlMOZtqulBEcTVUkM
Jardim Dos Animais,2jdLF6nc6XFWDogWNkuz0M,0.655,0.796,-6.136,0.04,0.551,1.7e-06,0.399,0.76,96.945,9,1,https://open.spotify.com/track/2jdLF6nc6XFWDogWNkuz0M
"Meu Vaqueiro, Meu Peão - Ao Vivo",4jaiVDEpL4GGKN2jBiJyNd,0.585,0.962,-7.002,0.0548,0.352,0.000331,0.462,0.937,104.745,11,0,https://open.spotify.com/track/4jaiVDEpL4GGKN2jBiJyNd
eu mais tu,32SZBhwUQl6NXkkWACZM2d,0.533,0.722,-3.499,0.111,0.323,0.0,0.257,0.517,146.245,4,0,https://open.spotify.com/track/32SZBhwUQl6NXkkWACZM2d
Falamansa Song,2AASYOHNVrNsCBpg5uDrgf,0.627,0.602,-7.603,0.0364,0.26,3.33e-05,0.144,0.816,107.804,4,1,https://open.spotify.com/track/2AASYOHNVrNsCBpg5uDrgf
E Proibido Cochilar / De Tamanco Mulher / Rosinha,6DzuY1xxtreDdSZsFZYhzG,0.786,0.884,-8.149,0.0532,0.215,0.0,0.0706,0.964,110.104,11,0,https://open.spotify.com/track/6DzuY1xxtreDdSZsFZYhzG
Voltei,4cBwg9NNqUb1AAjbbPoQFR,0.66,0.881,-4.797,0.0368,0.663,0.0,0.356,0.842,109.809,0,0,https://open.spotify.com/track/4cBwg9NNqUb1AAjbbPoQFR
Plano de Saúde - Ao Vivo,3XsjQlkdqk9Rmel5NShpiO,0.654,0.688,-5.863,0.086,0.133,0.0,0.307,0.824,151.985,2,1,https://open.spotify.com/track/3XsjQlkdqk9Rmel5NShpiO
Doce Cachaça,2I1knQ8XzwiJA41D2tnBx8,0.663,0.605,-7.776,0.0487,0.791,0.0,0.418,0.881,148.156,11,0,https://open.spotify.com/track/2I1knQ8XzwiJA41D2tnBx8
Vida de Rei,618aFlBS5Dj1IJRENanqsn,0.719,0.806,-5.71,0.0944,0.627,0.00139,0.134,0.961,167.982,0,1,https://open.spotify.com/track/618aFlBS5Dj1IJRENanqsn
Joia Rara,6aQ4355t1Ng832Vt8rzhL3,0.519,0.817,-6.673,0.0427,0.225,0.0,0.749,0.685,90.947,7,1,https://open.spotify.com/track/6aQ4355t1Ng832Vt8rzhL3
Tareco e Mariola,6HwPmevNxAmRaSBoayMiiE,0.616,0.863,-6.173,0.0318,0.208,2.03e-06,0.157,0.967,170.027,7,0,https://open.spotify.com/track/6HwPmevNxAmRaSBoayMiiE
Caxixi (Bonitinha),1dokfycJ5nNhVgCmOVDsil,0.711,0.397,-8.947,0.0316,0.422,0.0,0.0952,0.371,126.063,6,1,https://open.spotify.com/track/1dokfycJ5nNhVgCmOVDsil
Vem Me Dar um Cheiro,0GI14BOH67tKbxtIMjPxu2,0.703,0.449,-9.433,0.0384,0.367,0.0,0.396,0.745,131.811,9,1,https://open.spotify.com/track/0GI14BOH67tKbxtIMjPxu2
O Momento Faz Canção,7j8Ck06czzZaW8XiIODeHy,0.653,0.882,-4.01,0.113,0.336,2.59e-06,0.395,0.786,107.937,0,1,https://open.spotify.com/track/7j8Ck06czzZaW8XiIODeHy
Danado de Bom,1dxRFkjVkZQUaWn8QmcvAU,0.692,0.784,-9.364,0.0351,0.0723,0.000783,0.208,0.774,102.02,1,1,https://open.spotify.com/track/1dxRFkjVkZQUaWn8QmcvAU
Oferendar,1orps7A8xaKlo1CZUMIfXn,0.698,0.566,-7.064,0.0439,0.514,0.0,0.134,0.764,156.009,0,0,https://open.spotify.com/track/1orps7A8xaKlo1CZUMIfXn
Pro Forró Não Se Acabar,3sgu2BNOnjJbSsH8Umhd0M,0.678,0.929,-4.059,0.0389,0.0257,0.0,0.145,0.788,100.014,4,0,https://open.spotify.com/track/3sgu2BNOnjJbSsH8Umhd0M
Venha Logo,3xUt1zk8Uhje0trsQDZkYm,0.635,0.649,-9.412,0.0476,0.354,1.71e-06,0.102,0.7,166.169,2,0,https://open.spotify.com/track/3xUt1zk8Uhje0trsQDZkYm
"O Sol, A Lis, E O Beija-Flor",1b840p6EHySBMI8f2CEGZf,0.713,0.396,-9.448,0.0458,0.107,0.0,0.069,0.634,127.194,7,1,https://open.spotify.com/track/1b840p6EHySBMI8f2CEGZf
Olhinhos de Fogueira,0OIzv4IHEqjrP9oiXbWRz6,0.647,0.846,-5.639,0.048,0.0412,4.16e-06,0.26,0.957,165.001,0,1,https://open.spotify.com/track/0OIzv4IHEqjrP9oiXbWRz6
Forma Discreta (Deixa),1NX5mn7IAkipSla3tFV5ot,0.536,0.674,-5.947,0.0403,0.654,0.0,0.267,0.833,106.23,10,1,https://open.spotify.com/track/1NX5mn7IAkipSla3tFV5ot
Baião (Superstar),69WIRKDb7CHP3nZF2w932f,0.791,0.784,-6.316,0.0268,0.23,0.0,0.0742,0.742,108.898,7,1,https://open.spotify.com/track/69WIRKDb7CHP3nZF2w932f
Coco Panela,0XUPXD22EybUe8fXPqlKN9,0.663,0.806,-10.064,0.0406,0.738,8.01e-06,0.535,0.965,104.966,4,0,https://open.spotify.com/track/0XUPXD22EybUe8fXPqlKN9
Doce Menina,6OHUviPVIs2AqmaJ8tjlap,0.763,0.715,-8.146,0.0333,0.475,0.0,0.0706,0.957,139.967,2,0,https://open.spotify.com/track/6OHUviPVIs2AqmaJ8tjlap
Balanço do Luiz,5G95MpQaVIrBPVAgB6NLKR,0.727,0.869,-8.53,0.0429,0.129,0.000719,0.162,0.915,113.025,11,0,https://open.spotify.com/track/5G95MpQaVIrBPVAgB6NLKR
Bem Severo,7vzXJTRF1PSfftYF4PpCGS,0.766,0.92,-5.127,0.0475,0.543,4.19e-05,0.251,0.897,102.033,2,1,https://open.spotify.com/track/7vzXJTRF1PSfftYF4PpCGS
Deus Abençoe o Forró,6tGbkzhLAh3AsQB1DaHzwY,0.675,0.819,-5.033,0.0386,0.438,0.0,0.16,0.831,103.037,4,0,https://open.spotify.com/track/6tGbkzhLAh3AsQB1DaHzwY
Pot-Pourri: Isso Aqui Tá Bom Demais / Pagode Russo,3Q5lD9w8DwLVKc8Qn1UUWg,0.728,0.911,-5.686,0.0412,0.111,1.29e-06,0.419,0.93,160.027,5,1,https://open.spotify.com/track/3Q5lD9w8DwLVKc8Qn1UUWg
Amor de Lockdown,0rTvRWu6sSP8BKlHp6pc6d,0.616,0.806,-4.635,0.0562,0.512,0.0,0.779,0.935,166.879,9,0,https://open.spotify.com/track/0rTvRWu6sSP8BKlHp6pc6d
Me Chamo Forró,2DkXSOutWmOLg1GPN9ZJJH,0.693,0.769,-5.903,0.0349,0.114,0.0,0.0978,0.35,88.03,6,0,https://open.spotify.com/track/2DkXSOutWmOLg1GPN9ZJJH
Melhor Negócio,00TcTqZW9Pdx9HBw1v42h6,0.424,0.637,-5.851,0.134,0.064,0.0,0.301,0.589,157.71,9,1,https://open.spotify.com/track/00TcTqZW9Pdx9HBw1v42h6
Casca da Madeira,4b7QIomSmisrkc1dUHbgWt,0.671,0.604,-6.121,0.0365,0.111,0.0,0.118,0.832,156.045,0,1,https://open.spotify.com/track/4b7QIomSmisrkc1dUHbgWt
Fruta Doce,1Q7dAClSycKCudz3cBflvF,0.703,0.584,-5.595,0.0285,0.0748,0.0,0.227,0.675,129.982,2,1,https://open.spotify.com/track/1Q7dAClSycKCudz3cBflvF
5th Symphony,4fJU7h5T5XdgWkuq47nmmb,0.694,0.561,-10.028,0.0335,0.642,0.202,0.159,0.96,100.069,10,1,https://open.spotify.com/track/4fJU7h5T5XdgWkuq47nmmb
Por um Triz,5TkBJjURJezyKGd7oEoITY,0.674,0.843,-4.31,0.0822,0.688,0.0,0.287,0.865,152.139,0,1,https://open.spotify.com/track/5TkBJjURJezyKGd7oEoITY
Quando a Gente Se Vê,1hJMV7KUSgmtAS0m3FHofL,0.715,0.725,-8.318,0.112,0.271,0.0,0.0548,0.498,105.973,11,0,https://open.spotify.com/track/1hJMV7KUSgmtAS0m3FHofL
Oia Eu Aqui de Novo - Ao Vivo,2Tz6d9FoJmrqeWzLZeSIUw,0.618,0.802,-8.935,0.0353,0.35,0.000368,0.0837,0.77,113.526,2,1,https://open.spotify.com/track/2Tz6d9FoJmrqeWzLZeSIUw
Avec elle,3wy6vY2pIPDHtGFFdjqQw5,0.731,0.742,-6.563,0.339,0.158,0.00375,0.0348,0.882,156.163,2,0,https://open.spotify.com/track/3wy6vY2pIPDHtGFFdjqQw5
Carcará,7FrA4SSjFvVZVWScKrqkxd,0.736,0.904,-5.293,0.0539,0.323,0.00221,0.0871,0.946,103.999,2,0,https://open.spotify.com/track/7FrA4SSjFvVZVWScKrqkxd
Desmantelo,18lO7Fz1UU1NX2844invxd,0.776,0.892,-4.225,0.0587,0.195,0.0,0.0656,0.968,99.996,7,1,https://open.spotify.com/track/18lO7Fz1UU1NX2844invxd
Baile no Morro,0i4UV3HjjvsUuV3BajEXoD,0.714,0.404,-7.903,0.453,0.457,0.0,0.0701,0.782,130.088,3,0,https://open.spotify.com/track/0i4UV3HjjvsUuV3BajEXoD
Ai Preto,5vC8UAOHeG95ehRzZChniB,0.953,0.57,-5.149,0.245,0.537,0.0,0.0993,0.834,129.947,6,1,https://open.spotify.com/track/5vC8UAOHeG95ehRzZChniB
Kikando e Me Olhando,4a0sqvCBo7aRIS4GzBQpnp,0.742,0.439,-5.141,0.28,0.637,0.0,0.0876,0.842,85.974,3,0,https://open.spotify.com/track/4a0sqvCBo7aRIS4GzBQpnp
EU VOU COM CARINHO ELA QUER COM FORÇA,7qD2vjd3btuOgwpQPEY7ci,0.82,0.28,-11.742,0.0485,0.353,1.69e-05,0.116,0.209,129.854,5,1,https://open.spotify.com/track/7qD2vjd3btuOgwpQPEY7ci
Simplesmente Ela,4NJKCE1TBC653P3dCnto0u,0.572,0.616,-2.609,0.083,0.227,0.0,0.0728,0.545,83.04,4,0,https://open.spotify.com/track/4NJKCE1TBC653P3dCnto0u
Gostosinho Tu Cai,75fCsUnTiDelE4HMd06t4O,0.739,0.414,-8.146,0.0481,0.902,0.00284,0.133,0.505,130.039,10,0,https://open.spotify.com/track/75fCsUnTiDelE4HMd06t4O
Maldita,0byjneoANrqAMJuNrUXe3E,0.737,0.365,-4.659,0.245,0.411,0.000628,0.105,0.401,129.972,9,1,https://open.spotify.com/track/0byjneoANrqAMJuNrUXe3E
Eu Bem Que Te Avisei - Tu Empurrou Ele Pei,6pojmlhRI1fBUNg0pZSA9M,0.955,0.659,-3.531,0.382,0.411,0.00731,0.148,0.495,129.962,0,0,https://open.spotify.com/track/6pojmlhRI1fBUNg0pZSA9M
O Poder Dessa Garota,4aoZBldNDVYmTwmeoI49ud,0.763,0.474,-3.584,0.0767,0.686,0.0,0.0835,0.788,86.585,4,0,https://open.spotify.com/track/4aoZBldNDVYmTwmeoI49ud
Joga na Cara,1gKXrwKn5ub6wyefqMsnZp,0.612,0.415,-5.704,0.119,0.789,0.0,0.0791,0.913,87.449,4,0,https://open.spotify.com/track/1gKXrwKn5ub6wyefqMsnZp
Pras Novinha (feat. DJ Pedrin),3qHN7TSBfVQPF9ojUVT9ZT,0.935,0.656,-4.598,0.0886,0.507,1.6e-06,0.123,0.921,135.14,7,1,https://open.spotify.com/track/3qHN7TSBfVQPF9ojUVT9ZT
O Fim é Triste (feat. DJ BOY),0yDMhYTryvQoR634wDgQ1j,0.75,0.664,-2.529,0.112,0.296,0.0,0.0944,0.892,56.271,1,1,https://open.spotify.com/track/0yDMhYTryvQoR634wDgQ1j
Mágico do Som,0eumeycOAI8ew5qRzFJbEr,0.916,0.724,-4.188,0.323,0.0751,0.00283,0.0729,0.546,130.268,9,1,https://open.spotify.com/track/0eumeycOAI8ew5qRzFJbEr
Black Lança (Catucando Gostosinho),3qmdfYpfvKRIXmWaLllHZ3,0.939,0.582,-3.545,0.138,0.11,0.0,0.295,0.418,130.004,6,1,https://open.spotify.com/track/3qmdfYpfvKRIXmWaLllHZ3
Sei Que Tu Gosta Muito,0OJ8KWhqLMHkfI59yh398v,0.963,0.504,-7.255,0.398,0.144,0.0,0.0656,0.963,129.972,8,1,https://open.spotify.com/track/0OJ8KWhqLMHkfI59yh398v
Casei Com a Putaria,1OZ4uv7OAP24Ix6j3vojLt,0.585,0.6,-7.008,0.436,0.117,0.0,0.0504,0.617,160.635,10,0,https://open.spotify.com/track/1OZ4uv7OAP24Ix6j3vojLt
